=================================	INIT TIME:	2023-06-21 19:15:09	=====================================
[2023-06-21 19:16:46]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17136']	[STATUS => 1]
[2023-06-21 19:16:47]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17124']	[STATUS => 1]
[2023-06-21 19:16:47]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '17113']	[STATUS => 1]
[2023-06-21 19:16:48]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16943']	[STATUS => 1]
[2023-06-21 19:16:49]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16935']	[STATUS => 1]
[2023-06-21 19:16:50]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16914']	[STATUS => 1]
[2023-06-21 19:16:50]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16926']	[STATUS => 1]
[2023-06-21 19:16:51]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16905']	[STATUS => 1]
[2023-06-21 19:16:51]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16897']	[STATUS => 1]
[2023-06-21 19:16:52]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16877']	[STATUS => 1]
[2023-06-21 19:16:54]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16888']	[STATUS => 1]
[2023-06-21 19:16:54]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16857']	[STATUS => 1]
[2023-06-21 19:16:55]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16869']	[STATUS => 1]
[2023-06-21 19:16:57]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16846']	[STATUS => 1]
[2023-06-21 19:16:58]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16835']	[STATUS => 1]
[2023-06-21 19:16:59]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16822']	[STATUS => 1]
[2023-06-21 19:17:00]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16832']	[STATUS => 1]
[2023-06-21 19:17:02]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16815']	[STATUS => 1]
[2023-06-21 19:17:03]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16773']	[STATUS => 1]
[2023-06-21 19:17:04]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16778']	[STATUS => 1]
[2023-06-21 19:17:05]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16767']	[STATUS => 1]
[2023-06-21 19:17:06]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16762']	[STATUS => 1]
[2023-06-21 19:17:07]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16732']	[STATUS => 1]
[2023-06-21 19:17:08]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16744']	[STATUS => 1]
[2023-06-21 19:17:09]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16719']	[STATUS => 1]
[2023-06-21 19:17:10]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16648']	[STATUS => 1]
[2023-06-21 19:17:11]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16633']	[STATUS => 1]
[2023-06-21 19:17:11]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16458']	[STATUS => 1]
[2023-06-21 19:17:12]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16442']	[STATUS => 1]
[2023-06-21 19:17:13]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16448']	[STATUS => 1]
[2023-06-21 19:17:14]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16429']	[STATUS => 1]
[2023-06-21 19:17:16]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16411']	[STATUS => 1]
[2023-06-21 19:17:17]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16372']	[STATUS => 1]
[2023-06-21 19:17:18]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16393']	[STATUS => 1]
[2023-06-21 19:17:20]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16357']	[STATUS => 1]
[2023-06-21 19:17:21]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16345']	[STATUS => 1]
[2023-06-21 19:17:22]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16323']	[STATUS => 1]
[2023-06-21 19:17:23]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16334']	[STATUS => 1]
[2023-06-21 19:17:25]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16279']	[STATUS => 1]
[2023-06-21 19:17:26]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16307']	[STATUS => 1]
[2023-06-21 19:17:27]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16270']	[STATUS => 1]
[2023-06-21 19:17:28]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16250']	[STATUS => 1]
[2023-06-21 19:17:30]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16203']	[STATUS => 1]
[2023-06-21 19:17:31]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16225']	[STATUS => 1]
[2023-06-21 19:17:32]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16185']	[STATUS => 1]
[2023-06-21 19:17:34]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16183']	[STATUS => 1]
[2023-06-21 19:17:34]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16179']	[STATUS => 1]
[2023-06-21 19:17:34]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16181']	[STATUS => 1]
[2023-06-21 19:17:34]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16177']	[STATUS => 1]
[2023-06-21 19:17:35]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16068']	[STATUS => 1]
[2023-06-21 19:17:35]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16055']	[STATUS => 1]
[2023-06-21 19:17:36]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16062']	[STATUS => 1]
[2023-06-21 19:17:37]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16049']	[STATUS => 1]
[2023-06-21 19:17:38]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16042']	[STATUS => 1]
[2023-06-21 19:17:39]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '16029']	[STATUS => 1]
[2023-06-21 19:17:40]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15977']	[STATUS => 1]
[2023-06-21 19:17:41]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15955']	[STATUS => 1]
[2023-06-21 19:17:42]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15969']	[STATUS => 1]
